产品信息,设备类型,CPE信息
PowerDNS Recursor,,cpe:/a:powerdns:recursor
PowerDNS Recursor,,cpe:/a:powerdns:recursor:$1
PowerDNS,,cpe:/a:powerdns:powerdns
PowerDNS,,cpe:/a:powerdns:powerdns:$1
RIPE Atlas Anchor,,
Safing Portmaster DNS,,cpe:/a:safing:portmaster
Simple DNS Plus,,cpe:/a:jh_software:simple_dns_plus | cpe:/o:microsoft:windows
Synology DNS Server,,cpe:/a:synology:dns | cpe:/h:synology
TP-LINK router dnsd,broadband router,
UltraDNS Resolver,,
Unbound,,cpe:/a:nlnetlabs:unbound
Unbound,,cpe:/a:nlnetlabs:unbound:$1
ZyXEL Prestige 643 dns cache,switch,
Zyxel ZyWALL dnsd,,
cz.nic Knot DNS,,
